# ACE/gr parameter file
#
@    version 50122
@    world xmin 0.25
@    world xmax 0.75
@    title font 5
@    xaxis  tick major 0.1
@    xaxis  tick minor 0.02
@    xaxis  label "(r-r\s1\N)/d"
@    xaxis  label font 5
@    xaxis  label char size 1.2
@    xaxis  ticklabel font 4
@    xaxis  ticklabel char size 1
@    yaxis  tick major .1
@    yaxis  tick minor .02
@    yaxis  label font 4
@    yaxis  label char size 1.2
@    yaxis  ticklabel font 5
@    yaxis  ticklabel char size 1
@    title "density between neighbors"
@    yaxis  label "n(r) (electrons/bohr\S3\N)"
@    world ymin .0
@    world ymax .2
@    yaxis  tick major .05
@    yaxis  tick minor 0.01
@ s0 color  1
@ s0 linestyle  1
@ legend string 0 "(1)-(1)"
@target s0
@type xy
  .1000000000  1.366317583
  .1050000000  1.194469357
  .1100000000  1.043296583
  .1150000000  .9108560792
  .1200000000  .7950351606
  .1250000000  .6949324080
  .1300000000  .6073497857
  .1350000000  .5314130247
  .1400000000  .4651368793
  .1450000000  .4077320553
  .1500000000  .3573260593
  .1550000000  .3136947794
  .1600000000  .2755814871
  .1650000000  .2421331270
  .1700000000  .2127974983
  .1750000000  .1872367099
  .1800000000  .1649264074
  .1850000000  .1453350368
  .1900000000  .1281347121
  .1950000000  .1130351095
  .2000000000  .0997793913
  .2050000000  .0881406003
  .2100000000  .0779184697
  .2150000000  .0689365918
  .2200000000  .0610398919
  .2250000000  .0540923577
  .2300000000  .0479749855
  .2350000000  .0426781443
  .2400000000  .0380189726
  .2450000000  .0339070357
  .2500000000  .0302726220
  .2550000000  .0270557567
  .2600000000  .0242452274
  .2650000000  .0218131096
  .2700000000  .0196471667
  .2750000000  .0177156533
  .2800000000  .0160313176
  .2850000000  .0145717168
  .2900000000  .0132589131
  .2950000000  .0120860496
  .3000000000  .0110949011
  .3050000000  .0101943425
  .3100000000  .0093862426
  .3150000000  .0087033442
  .3200000000  .0080763970
  .3250000000  .0075247888
  .3300000000  .0070447922
  .3350000000  .0066002126
  .3400000000  .0062264473
  .3450000000  .0058814205
  .3500000000  .0055765611
  .3550000000  .0053079171
  .3600000000  .0050593701
  .3650000000  .0048491193
  .3700000000  .0046482372
  .3750000000  .0044807914
  .3800000000  .0043204038
  .3850000000  .0041838344
  .3900000000  .0040547391
  .3950000000  .0039432838
  .4000000000  .0038384749
  .4050000000  .0037474870
  .4100000000  .0036616660
  .4150000000  .0035874367
  .4200000000  .0035166206
  .4250000000  .0034562364
  .4300000000  .0033974440
  .4350000000  .0033486770
  .4400000000  .0033004673
  .4450000000  .0032609050
  .4500000000  .0032225702
  .4550000000  .0031901619
  .4600000000  .0031606691
  .4650000000  .0031345732
  .4700000000  .0031134500
  .4750000000  .0030929596
  .4800000000  .0030803435
  .4850000000  .0030678581
  .4900000000  .0030613830
  .4950000000  .0030581696
  .5000000000  .0031185912
  .5050000000  .0030581696
  .5100000000  .0030613830
  .5150000000  .0030678581
  .5200000000  .0030803435
  .5250000000  .0030929596
  .5300000000  .0031134500
  .5350000000  .0031345732
  .5400000000  .0031606691
  .5450000000  .0031901619
  .5500000000  .0032225702
  .5550000000  .0032609050
  .5600000000  .0033004673
  .5650000000  .0033486770
  .5700000000  .0033974440
  .5750000000  .0034562364
  .5800000000  .0035166206
  .5850000000  .0035874367
  .5900000000  .0036616660
  .5950000000  .0037474870
  .6000000000  .0038384749
  .6050000000  .0039432838
  .6100000000  .0040547391
  .6150000000  .0041838344
  .6200000000  .0043204038
  .6250000000  .0044807914
  .6300000000  .0046482372
  .6350000000  .0048491193
  .6400000000  .0050593701
  .6450000000  .0053079171
  .6500000000  .0055765611
  .6550000000  .0058814205
  .6600000000  .0062264473
  .6650000000  .0066002126
  .6700000000  .0070447922
  .6750000000  .0075247888
  .6800000000  .0080763970
  .6850000000  .0087033442
  .6900000000  .0093862426
  .6950000000  .0101943425
  .7000000000  .0110949011
  .7050000000  .0120860496
  .7100000000  .0132589131
  .7150000000  .0145717168
  .7200000000  .0160313176
  .7250000000  .0177156533
  .7300000000  .0196471667
  .7350000000  .0218131096
  .7400000000  .0242452274
  .7450000000  .0270557567
  .7500000000  .0302726220
  .7550000000  .0339070357
  .7600000000  .0380189726
  .7650000000  .0426781443
  .7700000000  .0479749855
  .7750000000  .0540923577
  .7800000000  .0610398919
  .7850000000  .0689365918
  .7900000000  .0779184697
  .7950000000  .0881406003
  .8000000000  .0997793913
  .8050000000  .1130351095
  .8100000000  .1281347121
  .8150000000  .1453350368
  .8200000000  .1649264074
  .8250000000  .1872367099
  .8300000000  .2127974983
  .8350000000  .2421331270
  .8400000000  .2755814871
  .8450000000  .3136947794
  .8500000000  .3573260593
  .8550000000  .4077320553
  .8600000000  .4651368793
  .8650000000  .5314130247
  .8700000000  .6073497857
  .8750000000  .6949324080
  .8800000000  .7950351606
  .8850000000  .9108560792
  .8900000000  1.043296583
  .8950000000  1.194469357
&
@ s1 color  1
@ s1 linestyle  1
@target s1
@type xy
  .4990885186 -10.000
  .4990885186  10.000
  .5009114813  10.000
  .5009114813 -10.000
&
