                  #Energy              Total trace      Spin Up (spin axis)      Spin Dn (spin axis)         <Sz> (spin axis)
      -13.605693008999998        0.032605332311105        0.016302666154804        0.016302666156301        0.000000000000749
      -13.578481622981998        0.032744220050674        0.016372110024769        0.016372110025905        0.000000000000568
      -13.551270236963997        0.032886739660828        0.016443369831701        0.016443369829126       -0.000000000001288
      -13.524058850945998        0.033032921166116        0.016516460584045        0.016516460582071       -0.000000000000987
      -13.496847464927997        0.033182796315603        0.016591398158617        0.016591398156986       -0.000000000000815
      -13.469636078909998        0.033336398625275        0.016668199313101        0.016668199312174       -0.000000000000463
      -13.442424692891997        0.033493763413920        0.016746881705147        0.016746881708773        0.000000000001813
      -13.415213306873998        0.033654927789376        0.016827463894347        0.016827463895029        0.000000000000341
      -13.388001920855997        0.033819930725454        0.016909965364074        0.016909965361380       -0.000000000001347
      -13.360790534837998        0.033988813059314        0.016994406528508        0.016994406530806        0.000000000001149
      -13.333579148819997        0.034161617537087        0.017080808768212        0.017080808768874        0.000000000000331
      -13.306367762801997        0.034338388844247        0.017169194422919        0.017169194421327       -0.000000000000796
      -13.279156376783998        0.034519173642258        0.017259586821393        0.017259586820865       -0.000000000000264
      -13.251944990765997        0.034704020612603        0.017352010306521        0.017352010306082       -0.000000000000219
      -13.224733604747998        0.034892980500203        0.017446490249747        0.017446490250456        0.000000000000354
      -13.197522218729997        0.035086106151687        0.017543053076199        0.017543053075488       -0.000000000000356
      -13.170310832711998        0.035283452549820        0.017641726275591        0.017641726274229       -0.000000000000681
      -13.143099446693997        0.035485076898536        0.017742538450041        0.017742538448496       -0.000000000000772
      -13.115888060675998        0.035691038640739        0.017845519319237        0.017845519321502        0.000000000001133
      -13.088676674657997        0.035901399523588        0.017950699761853        0.017950699761736       -0.000000000000059
      -13.061465288639997        0.036116223672561        0.018058111836285        0.018058111836276       -0.000000000000004
      -13.034253902621998        0.036335577622175        0.018167788810004        0.018167788812170        0.000000000001083
      -13.007042516603999        0.036559530410692        0.018279765205598        0.018279765205094       -0.000000000000252
      -12.979831130585998        0.036788153616550        0.018394076808017        0.018394076808533        0.000000000000258
      -12.952619744567999        0.037021521456423        0.018510760727584        0.018510760728839        0.000000000000627
      -12.925408358549999        0.037259710848840        0.018629855425359        0.018629855423482       -0.000000000000939
      -12.898196972531998        0.037502801483568        0.018751400742242        0.018751400741326       -0.000000000000458
      -12.870985586513999        0.037750875908372        0.018875437953253        0.018875437955119        0.000000000000933
      -12.843774200495998        0.038004019636105        0.019002009818929        0.019002009817176       -0.000000000000877
      -12.816562814477999        0.038262321196024        0.019131160598989        0.019131160597035       -0.000000000000977
      -12.789351428459998        0.038525872252594        0.019262936126506        0.019262936126088       -0.000000000000209
      -12.762140042441999        0.038794767709530        0.019397383854781        0.019397383854749       -0.000000000000016
      -12.734928656423998        0.039069105787283        0.019534552891099        0.019534552896184        0.000000000002543
      -12.707717270405999        0.039348988159065        0.019674494079216        0.019674494079849        0.000000000000316
      -12.680505884387998        0.039634520055032        0.019817260028341        0.019817260026691       -0.000000000000825
      -12.653294498369998        0.039925810379115        0.019962905190461        0.019962905188655       -0.000000000000903
      -12.626083112351999        0.040222971824480        0.020111485912660        0.020111485911820       -0.000000000000420
      -12.598871726333998        0.040526121033824        0.020263060517033        0.020263060516792       -0.000000000000121
      -12.571660340315999        0.040835378704250        0.020417689351575        0.020417689352675        0.000000000000550
      -12.544448954297998        0.041150869760773        0.020575434881165        0.020575434879607       -0.000000000000779
      -12.517237568279999        0.041472723490014        0.020736361744998        0.020736361745016        0.000000000000009
      -12.490026182261998        0.041801073696694        0.020900536847491        0.020900536849204        0.000000000000857
      -12.462814796243999        0.042136058888530        0.021068029444416        0.021068029444114       -0.000000000000151
      -12.435603410225998        0.042477822438532        0.021238911217134        0.021238911221399        0.000000000002132
      -12.408392024207998        0.042826512771272        0.021413256384736        0.021413256386536        0.000000000000900
      -12.381180638189999        0.043182283555307        0.021591141777427        0.021591141777880        0.000000000000226
      -12.353969252171998        0.043545293904758        0.021772646952216        0.021772646952542        0.000000000000163
      -12.326757866153999        0.043915708600435        0.021957854299932        0.021957854300503        0.000000000000286
      -12.299546480135998        0.044293698311006        0.022146849156203        0.022146849154803       -0.000000000000700
      -12.272335094117999        0.044679439815356        0.022339719907743        0.022339719907613       -0.000000000000065
      -12.245123708099998        0.045073116282516        0.022536558141531        0.022536558140985       -0.000000000000273
      -12.217912322081999        0.045474917483369        0.022737458742600        0.022737458740770       -0.000000000000915
      -12.190700936063998        0.045885040111084        0.022942520054568        0.022942520056516        0.000000000000974
      -12.163489550045998        0.046303688048794        0.023151844024301        0.023151844024493        0.000000000000096
      -12.136278164027997        0.046731072672413        0.023365536336483        0.023365536335930       -0.000000000000277
      -12.109066778009998        0.047167413165854        0.023583706582756        0.023583706583098        0.000000000000171
      -12.081855391991999        0.047612936885153        0.023806468443477        0.023806468441676       -0.000000000000900
      -12.054644005973998        0.048067879668299        0.024033939832908        0.024033939835391        0.000000000001242
      -12.027432619955999        0.048532486259757        0.024266243130252        0.024266243129505       -0.000000000000373
      -12.000221233937998        0.049007010667093        0.024503505333375        0.024503505333718        0.000000000000172
      -11.973009847919998        0.049491716585328        0.024745858293622        0.024745858291705       -0.000000000000959
      -11.945798461901997        0.049986877856836        0.024993438930227        0.024993438926609       -0.000000000001809
      -11.918587075883998        0.050492778913734        0.025246389457447        0.025246389456287       -0.000000000000580
      -11.891375689865997        0.051009715286737        0.025504857646028        0.025504857640710       -0.000000000002659
