# ACE/gr parameter file
#
@    version 50122
@    world xmin 0.25
@    world xmax 0.75
@    title font 5
@    xaxis  tick major 0.1
@    xaxis  tick minor 0.02
@    xaxis  label "(r-r\s1\N)/d"
@    xaxis  label font 5
@    xaxis  label char size 1.2
@    xaxis  ticklabel font 4
@    xaxis  ticklabel char size 1
@    yaxis  tick major .1
@    yaxis  tick minor .02
@    yaxis  label font 4
@    yaxis  label char size 1.2
@    yaxis  ticklabel font 5
@    yaxis  ticklabel char size 1
@    title "density between neighbors"
@    yaxis  label "n(r) (electrons/bohr\S3\N)"
@    world ymin .0
@    world ymax .2
@    yaxis  tick major .05
@    yaxis  tick minor 0.01
@ s0 color  1
@ s0 linestyle  1
@ legend string 0 "(1)-(1)"
@target s0
@type xy
  .1000000000 -1.230299517
  .1050000000 -1.071645588
  .1100000000 -.9325217528
  .1150000000 -.8112937148
  .1200000000 -.7061597100
  .1250000000 -.6148976490
  .1300000000 -.5357811689
  .1350000000 -.4672080458
  .1400000000 -.4077291905
  .1450000000 -.3560606140
  .1500000000 -.3113226009
  .1550000000 -.2724675335
  .1600000000 -.2385113922
  .1650000000 -.2090182914
  .1700000000 -.1832985057
  .1750000000 -.1608093447
  .1800000000 -.1412138668
  .1850000000 -.1240867072
  .1900000000 -.1090350829
  .1950000000 -.0960034611
  .2000000000 -.0845243891
  .2050000000 -.0744259670
  .2100000000 -.0656931709
  .2150000000 -.0580200661
  .2200000000 -.0512783948
  .2250000000 -.0453606161
  .2300000000 -.0401703874
  .2350000000 -.0356398675
  .2400000000 -.0316858094
  .2450000000 -.0282152860
  .2500000000 -.0251698618
  .2550000000 -.0224976869
  .2600000000 -.0201528579
  .2650000000 -.0180948285
  .2700000000 -.0162878659
  .2750000000 -.0147005499
  .2800000000 -.0133053123
  .2850000000 -.0120780134
  .2900000000 -.0110090006
  .2950000000 -.0100703583
  .3000000000 -.0092427648
  .3050000000 -.0085120555
  .3100000000 -.0078659764
  .3150000000 -.0072939343
  .3200000000 -.0067867747
  .3250000000 -.0063498758
  .3300000000 -.0059611076
  .3350000000 -.0056142008
  .3400000000 -.0053042303
  .3450000000 -.0050318664
  .3500000000 -.0047935233
  .3550000000 -.0045787492
  .3600000000 -.0043850529
  .3650000000 -.0042162502
  .3700000000 -.0040657538
  .3750000000 -.0039287760
  .3800000000 -.0038067001
  .3850000000 -.0036995809
  .3900000000 -.0036011679
  .3950000000 -.0035127707
  .4000000000 -.0034351123
  .4050000000 -.0033631584
  .4100000000 -.0032990649
  .4150000000 -.0032417370
  .4200000000 -.0031882648
  .4250000000 -.0031418917
  .4300000000 -.0030989924
  .4350000000 -.0030599324
  .4400000000 -.0030257204
  .4450000000 -.0029934822
  .4500000000 -.0029661248
  .4550000000 -.0029407148
  .4600000000 -.0029185549
  .4650000000 -.0028992408
  .4700000000 -.0028819762
  .4750000000 -.0028683967
  .4800000000 -.0028559460
  .4850000000 -.0028480999
  .4900000000 -.0028409587
  .4950000000 -.0028388799
  .5000000000 -.0028857950
  .5050000000 -.0028388799
  .5100000000 -.0028409587
  .5150000000 -.0028480999
  .5200000000 -.0028559460
  .5250000000 -.0028683967
  .5300000000 -.0028819762
  .5350000000 -.0028992408
  .5400000000 -.0029185549
  .5450000000 -.0029407148
  .5500000000 -.0029661248
  .5550000000 -.0029934822
  .5600000000 -.0030257204
  .5650000000 -.0030599324
  .5700000000 -.0030989924
  .5750000000 -.0031418917
  .5800000000 -.0031882648
  .5850000000 -.0032417370
  .5900000000 -.0032990649
  .5950000000 -.0033631584
  .6000000000 -.0034351123
  .6050000000 -.0035127707
  .6100000000 -.0036011679
  .6150000000 -.0036995809
  .6200000000 -.0038067001
  .6250000000 -.0039287760
  .6300000000 -.0040657538
  .6350000000 -.0042162502
  .6400000000 -.0043850529
  .6450000000 -.0045787492
  .6500000000 -.0047935233
  .6550000000 -.0050318664
  .6600000000 -.0053042303
  .6650000000 -.0056142008
  .6700000000 -.0059611076
  .6750000000 -.0063498758
  .6800000000 -.0067867747
  .6850000000 -.0072939343
  .6900000000 -.0078659764
  .6950000000 -.0085120555
  .7000000000 -.0092427648
  .7050000000 -.0100703583
  .7100000000 -.0110090006
  .7150000000 -.0120780134
  .7200000000 -.0133053123
  .7250000000 -.0147005499
  .7300000000 -.0162878659
  .7350000000 -.0180948285
  .7400000000 -.0201528579
  .7450000000 -.0224976869
  .7500000000 -.0251698618
  .7550000000 -.0282152860
  .7600000000 -.0316858094
  .7650000000 -.0356398675
  .7700000000 -.0401703874
  .7750000000 -.0453606161
  .7800000000 -.0512783948
  .7850000000 -.0580200661
  .7900000000 -.0656931709
  .7950000000 -.0744259670
  .8000000000 -.0845243891
  .8050000000 -.0960034611
  .8100000000 -.1090350829
  .8150000000 -.1240867072
  .8200000000 -.1412138668
  .8250000000 -.1608093447
  .8300000000 -.1832985057
  .8350000000 -.2090182914
  .8400000000 -.2385113922
  .8450000000 -.2724675335
  .8500000000 -.3113226009
  .8550000000 -.3560606140
  .8600000000 -.4077291905
  .8650000000 -.4672080458
  .8700000000 -.5357811689
  .8750000000 -.6148976490
  .8800000000 -.7061597100
  .8850000000 -.8112937148
  .8900000000 -.9325217528
  .8950000000 -1.071645588
&
@ s1 color  1
@ s1 linestyle  1
@target s1
@type xy
  .4992521127 -10.000
  .4992521127  10.000
  .5007478872  10.000
  .5007478872 -10.000
&
